name,address,website,phone_number,reviews_average
Mobile Zone,"C38M+X34, King Fahd Road, Al Itisalat, Dammam 32257, Saudi Arabia",,+966 9200 29663,4.5
Lulu mobile and electronics,"617, Al Dawasir, Dammam 32416, Saudi Arabia",,,4.3
Sohag Mobile Gallery,"SEIKO Building, King Saud St, Al Souq, Dammam 32242, Saudi Arabia",,+966 50 427 4123,5.0
Dammam,"C48F+34V, Aliskan, Dammam 32236, Saudi Arabia",,,4.0
اخر تقنية للاتصالات,"Othman Ibn Affan Street, Ghirnatah, حي, Dammam Saudi Arabia",,+966 54 644 0630,4.5
communications Dammam,"C4R2+5W2, Al Souq, Dammam 32242, Saudi Arabia",,,1.0
"Huawei Authorized Experience Store (Dammam, Hayat Plaza)","C3V9+FC2, Abu Hamed Al Ghazaly St, Al Anud, Dammam 32427, Saudi Arabia",consumer.huawei.com,,4.0
Dihan Mobile Centers,Dammam Seiko Saudi Arabia,dihanmobilecenter.com,+966 50 106 1848,3.0
Ma Mobile Center,"Al Souq, Dammam 32242, Saudi Arabia",,+966 53 284 6394,5.0
Plug Store Dammam,"Al Manar, Dammam 32274, Saudi Arabia",,+966 50 890 9280,4.2
